station,line,date,total
당정,경부선,2024-11-28,19230.0
대곡,일산선,2025-04-25,24906.0
대공원,과천선,2024-04-06,60647.0
대림(구로구청),2호선,2025-05-14,57103.0
대모산입구,분당선,2025-05-14,14680.0
대방,경부선,2024-12-14,44523.0
대성리,경춘선,2025-05-10,8393.0
대야미,안산선,2024-11-28,12385.0
대청,3호선,2024-10-08,28103.0
대치,3호선,2024-11-22,29944.0
대화,일산선,2024-10-12,56756.0
대흥(서강대앞),6호선,2024-05-17,25730.0
덕계,경원선,2024-09-27,14796.0
덕소,중앙선,2025-04-25,14437.0
덕정,경원선,2024-05-14,16735.0
도곡,분당선,2025-04-11,20688.0
도농,중앙선,2024-05-10,26686.0
도림천,2호선,2025-04-11,5914.0
도봉,경원선,2024-03-28,14271.0
도봉산,7호선,2024-07-18,25954.0
도심,중앙선,2024-10-08,5653.0
도원,경인선,2025-03-01,16490.0
도화,경인선,2024-04-09,10085.0
독립문,3호선,2024-03-01,30644.0
독바위,6호선,2024-03-28,7443.0
독산,경부선,2024-03-28,45229.0
돌곶이,6호선,2024-03-18,25917.0
동대문,4호선,2024-03-28,50104.0
동대문역사문화공원(DDP),4호선,2024-12-31,45578.0
동대입구,3호선,2024-05-29,41588.0
동두천,경원선,2024-02-17,9033.0
동두천중앙,경원선,2024-04-25,7785.0
동묘앞,1호선,2025-05-04,38549.0
동암,경인선,2024-05-10,37667.0
동인천,경인선,2024-05-10,37327.0
동작(현충원),9호선,2024-06-06,39454.0
두정,경부선,2024-04-09,23581.0
둔촌동,5호선,2025-03-28,30212.0
둔촌오륜,9호선2~3단계,2025-05-09,10320.0
등촌,9호선,2024-03-28,32713.0
디지털미디어시티,6호선,2024-03-21,42137.0
뚝섬,2호선,2025-04-11,70544.0
뚝섬유원지,7호선,2024-02-14,20097.0
마곡,5호선,2025-02-14,33728.0
마곡나루(서울식물원),9호선,2024-12-20,37605.0
마두,일산선,2024-05-10,20733.0
마들,7호선,2024-10-25,32109.0
